"Description: ","Linear trend statistics"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Indices,Frequency,Start Year,End Year,Lower bound,Trend,Upper bound
tmlt10,annual,1936,2015,-0.0612244897959184,-0.0416666666666667,-0.027027027027027
tmlt10,monthly,1936,2015,0,0,0
tmlt10,DJF,1936,2015,0,0,0
tmlt10,MAM,1936,2015,0,0,0
tmlt10,JJA,1936,2015,-0.0202020202020202,-0.0138888888888889,-0.00854700854700855
tmlt10,SON,1936,2015,0,0,0
txge30,annual,1936,2015,0,0.0476190476190476,0.102564102564103
txge30,monthly,1936,2015,0,0,0
txge30,DJF,1936,2015,-0.05,0,0.0416666666666667
txge30,MAM,1936,2015,-0.015625,0,0
txge30,JJA,1936,2015,0,0,0
txge30,SON,1936,2015,0,0.0136060718252499,0.0487804878048781
txge35,annual,1936,2015,-0.0161290322580645,0,0.0185185185185185
txge35,monthly,1936,2015,0,0,0
txge35,DJF,1936,2015,0,0,0
txge35,MAM,1936,2015,0,0,0
txge35,JJA,1936,2015,0,0,0
txge35,SON,1936,2015,0,0,0
tx95t,NA,1936,2015,-0.00691011235955054,-0.00195018602728399,0.00289699570815449
hddheat18,annual,1936,2015,-3.97547169811321,-3.43137254901961,-2.85769230769231
cddcold18,annual,1936,2015,2.9590909090909,3.72558139534884,4.5111111111111
gddgrow18,annual,1936,2015,2.9590909090909,3.72558139534884,4.5111111111111
cdd,annual,1936,2015,-0.0588235294117647,0,0.0784313725490196
cdd,monthly,1936,2015,0,0,0.00131233595800525
cdd,DJF,1936,2015,-0.0232558139534884,0.0181818181818182,0.0666666666666667
cdd,MAM,1936,2015,-0.0327868852459016,0.0162612374405077,0.0714285714285714
cdd,JJA,1936,2015,-0.09375,-0.0217391304347826,0.0454545454545455
cdd,SON,1936,2015,0,0.0526315789473684,0.111111111111111
cwd,annual,1936,2015,-0.0138888888888889,0,0
cwd,monthly,1936,2015,0,0,0
cwd,DJF,1936,2015,0,0,0.0181818181818182
cwd,MAM,1936,2015,0,0,0.0212765957446809
cwd,JJA,1936,2015,0,0,0.0185185185185185
cwd,SON,1936,2015,0,0,0.02
r10mm,annual,1936,2015,-0.032258064516129,0.0384615384615385,0.125
r10mm,monthly,1936,2015,0,0,0
r10mm,DJF,1936,2015,-0.0444444444444444,0,0.0416666666666667
r10mm,MAM,1936,2015,0,0.0190493468795356,0.0666666666666667
r10mm,JJA,1936,2015,-0.0222222222222222,0,0.0555555555555556
r10mm,SON,1936,2015,0,0.0181818181818182,0.0566037735849057
r20mm,annual,1936,2015,-0.0625,0,0.0526315789473684
r20mm,monthly,1936,2015,0,0,0
r20mm,DJF,1936,2015,-0.02,0,0.0298507462686567
r20mm,MAM,1936,2015,-0.0277777777777778,0,0.0263157894736842
r20mm,JJA,1936,2015,-0.0303030303030303,0,0.0175438596491228
r20mm,SON,1936,2015,0,0,0.0208333333333333
rx1day,annual,1936,2015,-0.471428571428571,-0.0899638699317543,0.3125
rx1day,monthly,1936,2015,-0.00357142857142857,0.00110759493670887,0.00582120582120582
rx1day,DJF,1936,2015,-0.324324324324324,0.0411764705882353,0.356
rx1day,MAM,1936,2015,-0.428571428571429,-0.0969444444444445,0.229032258064516
rx1day,JJA,1936,2015,-0.386666666666667,-0.0932126696832581,0.17037037037037
rx1day,SON,1936,2015,-0.22,0.0511965811965812,0.333333333333333
rx5day,annual,1936,2015,-0.819047619047623,-0.110714285714283,0.599999999999999
rx5day,monthly,1936,2015,-0.0071794871794871,0.00139534883720912,0.010048426150121
rx5day,DJF,1936,2015,-0.707407407407412,0.00666666666666629,0.533333333333322
rx5day,MAM,1936,2015,-0.714285714285715,-0.134895833333336,0.417948717948717
rx5day,JJA,1936,2015,-0.745098039215689,-0.10824915824916,0.499999999999998
rx5day,SON,1936,2015,-0.46792452830189,0.0535897435897422,0.568965517241376
prcptot,annual,1936,2015,-2.86842105263158,0.459090909090915,3.65166666666667
prcptot,monthly,1936,2015,-0.00798122065727699,0.00552763819095477,0.0190740740740741
prcptot,DJF,1936,2015,-1.55344827586207,0.0199999999999989,1.51904761904762
prcptot,MAM,1936,2015,-1.43777777777778,0.160314685314685,1.6344262295082
prcptot,JJA,1936,2015,-1.34,0.138392857142857,1.54
prcptot,SON,1936,2015,-0.878461538461539,0.475421804023362,1.46
sdii,annual,1936,2015,-0.0192544131531514,0.00368478899304894,0.0283738125802311
r95p,annual,1936,2015,-2.43636363636364,-0.189955357142858,1.87272727272727
r99p,annual,1936,2015,-0.526229508196721,0,0
r95ptot,annual,1936,2015,-0.121018333205575,0.00921792820943148,0.135570107484499
r99ptot,annual,1936,2015,-0.0497840862706027,0,0
rx3day,annual,1936,2015,-0.822413793103448,-0.220814132104453,0.415254237288136
rx3day,monthly,1936,2015,-0.00646551724137925,0.000802353627865973,0.00806201550387601
rx3day,DJF,1936,2015,-0.282539682539681,0.0333333333333351,0.309195402298852
rx3day,MAM,1936,2015,-0.302083333333332,-0.0542929292929286,0.242564102564103
rx3day,JJA,1936,2015,-0.307878787878788,-0.0422196200884716,0.25374149659864
rx3day,SON,1936,2015,-0.209595959595959,0.00527777777777897,0.224888888888889
r30mm,annual,1936,2015,-0.0465116279069767,0,0.025
r30mm,monthly,1936,2015,0,0,0
r30mm,DJF,1936,2015,0,0,0
r30mm,MAM,1936,2015,-0.00793650793650793,0,0
r30mm,JJA,1936,2015,-0.00925925925925926,0,0
r30mm,SON,1936,2015,0,0,0.00469483568075117
tx2tn2,annual,1936,2015,0,0,0
txb2tnb2,annual,1936,2015,0,0,0
Tx90.HWM,annual,1936,2015,-0.027076923076923,-0.00419753086419753,0.0205338541666666
Tx90.HWA,annual,1936,2015,-0.0393939393939394,0.00199999999999996,0.0461538461538462
Tx90.HWN,annual,1936,2015,0,0,0.0227272727272727
Tx90.HWD,annual,1936,2015,0,0,0
Tx90.HWF,annual,1936,2015,0,0.0504237288135593,0.0958904109589041
Tn90.HWM,annual,1936,2015,-0.0136827956989248,0.00661478288633465,0.0229365079365079
Tn90.HWA,annual,1936,2015,-0.0121212121212121,0.0121883289124669,0.0390243902439024
Tn90.HWN,annual,1936,2015,0,0,0.0138888888888889
Tn90.HWD,annual,1936,2015,0,0,0
Tn90.HWF,annual,1936,2015,0,0,0.0652173913043478
EHF.HWM,annual,1936,2015,-0.0267990196078428,-0.000707777777777752,0.0345421185007124
EHF.HWA,annual,1936,2015,-0.0488101851851855,0.0236583333333329,0.135994827586206
