tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
22.26, 22.8, 26.4, 29.1466666666667, 30.92, 16.08, 16.9266666666667, 19.4, 21.8466666666667, 22.4, 19.59, 20.6266666666667, 22.75, 25.3, 26.75, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.5666666666667, 25.9333333333333
22.26, 22.8266666666667, 26.5, 29.3466666666667, 30.92, 16.26, 16.9266666666667, 19.7, 21.7, 22.22, 19.64, 20.75, 22.85, 25.2366666666667, 26.75, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.5866666666667, 25.9433333333333
22.1, 22.8366666666667, 26.5, 29.7633333333333, 32.69, 16.6, 17.4366666666667, 19.85, 21.8, 22.3, 20.035, 20.6, 23.225, 25.65, 27.14, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1933333333333, 30.6, 26.14
22.27, 22.9366666666667, 26.6, 30.5266666666667, 33.23, 16.57, 17.2366666666667, 19.9, 21.9633333333333, 22.3, 20.05, 20.505, 23.25, 25.9266666666667, 27.395, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.3933333333333, 25.9433333333333
22.3, 23.0533333333333, 26.6, 31.3, 34.16, 16.28, 17.2266666666667, 19.8, 22.3, 22.7, 20.21, 20.7, 23.25, 26.5833333333333, 27.87, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.6, 25.9966666666667
22.26, 23.0533333333333, 26.4, 31.5733333333333, 35.36, 16.56, 17.3266666666667, 19.9, 22.3, 22.9, 20.29, 20.7133333333333, 23.2, 26.7866666666667, 28.05, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.6, 26.1966666666667
22.25, 23.2333333333333, 26.55, 32.35, 34.225, 16.875, 17.4, 19.9, 22.3833333333333, 23.1, 20.2875, 20.7, 23.2, 26.7916666666667, 27.95, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.6, 26.1966666666667
22.8, 23.5166666666667, 26.5, 31.55, 34.225, 16.6, 17.4, 19.95, 22.6666666666667, 23.25, 20.4125, 20.9083333333333, 23.225, 26.9583333333333, 27.95, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 30.6833333333333, 26.35
22.175, 23.1166666666667, 26.45, 31.1833333333333, 33.15, 16.675, 17.5166666666667, 19.9, 22.4666666666667, 23.125, 20.425, 20.9083333333333, 23.125, 26.4, 27.95, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.0833333333333, 30.6833333333333, 26.3416666666667
21.9, 23.1, 26.6, 30.0466666666667, 32.54, 16.6, 17.4, 19.9, 22.0733333333333, 23.12, 19.99, 20.7266666666667, 23.3, 25.8233333333333, 27.01, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1833333333333, 30.8666666666667, 26.35
21.98, 23.1, 26.7, 31.04, 32.82, 16.32, 16.9266666666667, 20, 22.2, 23.24, 19.89, 20.3766666666667, 23.45, 26.3866666666667, 27.95, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.2033333333333, 30.9066666666667, 26.3516666666667
21.885, 22.3733333333333, 26.4, 30.5266666666667, 33.065, 15.7, 16.7733333333333, 20, 22.2, 23.36, 19.285, 20, 23.35, 26.295, 27.5725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.3, 30.8033333333333, 26.3516666666667
21.57, 22.0366666666667, 26.25, 30.6, 33.405, 15.4, 16.51, 19.95, 21.9, 23.1, 19.185, 19.95, 23.2, 26.295, 27.5725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.3, 30.8, 26.3016666666667
