Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 18.3, 24.6, 0
NA, 17.7, 23.7, 0
NA, 17.8, 22.8, 11.2
NA, 18.4, 22, 1.5
NA, 16.2, 20.8, 29.7
NA, 16.1, 24.2, 54.9
NA, 18.3, 27.1, 10.2
NA, 18.7, 26, 0
NA, 19.1, 22.1, 2.5
NA, 17.9, 24.8, 0.3
NA, 16.3, 25.3, 0
NA, 17.9, 26.2, 0
NA, 18.9, 26.6, 0
NA, 20, 28.3, 0
NA, 17.3, 21.6, 2.3
NA, 18.3, 25.4, 14
NA, 19.7, 25.7, 8.1
NA, 20.2, 25.5, 1.8
NA, 20.3, 26.6, 0.3
NA, 20, 26.2, 2
NA, 21.1, 26, 0.3
NA, 19.9, 24.9, 3.6
NA, 19.8, 24.6, 2.3
NA, 18.9, 25.9, 0
NA, 21, 26.2, 0
NA, 21.5, 26.1, 0
NA, 20, 24.6, 0.3
NA, 21.1, 26.1, 0.3
NA, 18.4, 30.6, 24.6
NA, 20.4, 25.4, 0
NA, 19, 25.3, 0
NA, 18.1, 28.2, 19.8
NA, 13.8, 23.4, 5.3
NA, 15.8, 25, 0
NA, 16.5, 24.8, 0.3
NA, 16.9, 24.3, 0
NA, 19, 24.9, 0.3
NA, 17.9, 24.4, 2.3
NA, 18.9, 25.6, 1.8
NA, 18.7, 25.9, 10.4
NA, 18.8, 25.8, 0
NA, 19.2, 26.1, 4.8
NA, 20.1, 26.1, 4.8
NA, 20.6, 22.2, 1.3
NA, 17.9, 21.7, 0.5
NA, 15.6, 22.1, 66.8
NA, 14.6, 22.6, 74.7
NA, 16.7, 23.7, 13
NA, 17.3, 21.8, 2
NA, 16.7, 23.8, 0
NA, 15, 29, 0
NA, 19.9, 24.1, 0
NA, 20, 23.9, 0.3
NA, 16.8, 29.8, 0
NA, 18.4, 23.4, 0.5
NA, 18.8, 25.1, 0.5
NA, 20.3, 23.9, 0.8
NA, 17.8, 24.1, 1
NA, 18.7, 24.2, 0
NA, 18.6, 26.1, 0
NA, 19.9, 24.6, 0.3
NA, 18.7, 20.9, 0.5
NA, 18, 20.6, 3.3
NA, 14.2, 20.7, 8.4
NA, 11.6, 21.6, 0
NA, 12.2, 22.5, 0
NA, 14.9, 23.4, 0
NA, 18.2, 24.2, 0
NA, 19.4, 30.1, 0
NA, 17, 25.8, 0
NA, 19.8, 23.8, 0
NA, 18.9, 22.7, 1.8
NA, 16.7, 21.6, 2.3
NA, 16.7, 20.6, 21.1
