"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spei
1952-06, 0.443857564322364
1952-07, 0.205548566487587
1952-08, 0.604975189806265
1952-09, 0.472018115762751
1952-10, 0.60371883572753
1952-11, 0.497918270154449
1952-12, 0.553572645514697
1953-01, 0.0790564927408721
1953-02, 0.410087973791437
1953-03, 0.442727211505517
1953-04, 0.382327327022475
1953-05, 0.735940416095362
1953-06, 0.125162318358936
1953-07, 0.217703386911809
1953-08, -0.0303435690156879
1953-09, -0.151447752874631
1953-10, -0.106239990221035
1953-11, -0.0689625296177539
1953-12, -0.0774570725043041
1954-01, 0.0600801443783041
1954-02, 0.499616624462009
1954-03, 0.403305593962552
1954-04, -0.0717531870034673
1954-05, -0.109887451775952
1954-06, -0.341645907852709
1954-07, -0.589139928924296
1954-08, -1.14654230259135
1954-09, -1.03386197750087
1954-10, -1.13240042524114
1954-11, -1.01934750973943
1954-12, -0.936556407301663
1955-01, -0.690886609225879
1955-02, -0.436977078284307
1955-03, -0.176295217516584
1955-04, -0.0557125956138638
1955-05, -0.0145143327018401
1955-06, 0.194368280099087
1955-07, 0.123200722486828
1955-08, 0.0105261059932777
1955-09, 0.0246957414555391
1955-10, -0.0837979082160072
1955-11, 0.238967952216563
1955-12, 0.727606817948214
1956-01, 0.647019120863689
1956-02, 1.1892579088184
1956-03, 1.72411133076897
1956-04, 1.787167548744
1956-05, 1.92906445351589
1956-06, 2.02928404668698
1956-07, 1.98161579676153
1956-08, 2.18821078970714
1956-09, 2.09729933000758
1956-10, 2.09545084651604
1956-11, 1.98060281905539
1956-12, 1.845891802923
1957-01, 1.68117427855673
1957-02, 1.20476997149539
1957-03, 1.0167116770555
1957-04, 0.901660222009773
1957-05, 0.287399552710455
1957-06, 0.0917604424821076
1957-07, 0.256686218250595
1957-08, 0.494827284300723
1957-09, 0.490381421311936
1957-10, 0.421532911999148
1957-11, -0.0470426847731101
1957-12, -0.411657271342424
1958-01, -0.40030787658209
1958-02, -0.69474024932956
1958-03, -0.821136552712022
1958-04, -0.744725170194207
1958-05, -1.03020611587546
1958-06, -0.99563475885506
1958-07, -1.05965625929154
1958-08, -1.06345115500228
1958-09, -1.06401870349891
1958-10, -1.14252206582093
1958-11, -1.12963639372544
1958-12, -0.85630217560582
1959-01, -0.685145942213584
1959-02, -0.358957817188045
1959-03, -0.27922109326891
1959-04, -0.277377914669299
1959-05, -0.101042718521572
1959-06, 0.0942762711059928
1959-07, 0.206865854428228
1959-08, 0.0326797926733406
1959-09, 0.199072179902168
1959-10, 0.727510621115045
1959-11, 0.913666631514093
1959-12, 0.963172687984193
1960-01, 0.7690146389314
1960-02, 0.245269489592104
1960-03, -0.267390057710658
1960-04, -0.424327345437083
1960-05, -0.189933089339809
1960-06, -0.355160334284329
1960-07, -0.15633006132533
1960-08, -0.288290198483344
1960-09, -0.199233353387059
1960-10, 0.21997632364815
1960-11, 0.303709423681373
1960-12, 0.526614957503591
1961-01, 0.243404206007481
1961-02, 0.0502467900239433
1961-03, -0.1589691640427
1961-04, -0.100677622836264
1961-05, -0.128232079500302
1961-06, -0.189859385648603
1961-07, -0.494535702013721
1961-08, -0.226647272262765
1961-09, -0.28040772620931
1961-10, -0.767785342857655
1961-11, 0.0620136599948149
1961-12, 0.360182095372805
1962-01, 0.533310446750232
1962-02, 0.653435630630864
1962-03, 0.680990958964907
1962-04, 0.816382093369012
1962-05, 1.12440480249269
1962-06, 0.905731725243283
1962-07, 0.789893144176318
1962-08, 0.891565148771448
1962-09, 0.9038812049822
1962-10, 0.433374215807143
1962-11, 0.262614626471169
1962-12, 0.0238748805751134
1963-01, 0.138214595029323
1963-02, 0.145370797243631
1963-03, 0.849109042107636
1963-04, 1.0914413797209
1963-05, 1.41519848985507
1963-06, 1.599361367934
1963-07, 1.63797776589227
1963-08, 1.7694898205972
1963-09, 1.68116726553513
1963-10, 1.76745225415129
1963-11, 0.989897878704107
1963-12, 1.18032538655911
1964-01, 0.934100827749697
1964-02, 0.685745353965885
1964-03, 0.91284036646261
1964-04, 0.996269198318302
1964-05, 0.670395968952385
1964-06, 1.26839212644748
1964-07, 1.19030669714249
1964-08, 1.07664019115199
1964-09, 0.947018223576584
1964-10, 1.08974303920538
1964-11, 1.21609497645095
1964-12, 1.0481676675558
1965-01, 0.880874853939603
1965-02, 0.808523422775088
1965-03, 0.0728460044222794
1965-04, -0.256738269038329
1965-05, -0.619407224035062
1965-06, -0.639465246361824
1965-07, -0.618463969343044
1965-08, -1.1345949155893
1965-09, -0.976320843494926
1965-10, -0.829220510934306
1965-11, -0.888839317687787
1965-12, -1.23876495141745
1966-01, -1.20969485100161
1966-02, -0.946304629939997
1966-03, -1.00813996473598
1966-04, -0.896738880217511
1966-05, -0.930121656165511
1966-06, -1.34336501485449
1966-07, -1.36341204806626
1966-08, -1.24480340696864
1966-09, -1.1388902997303
1966-10, -1.21226263307895
1966-11, -1.07716458860599
1966-12, -0.929577441689172
1967-01, -0.772424155840478
1967-02, -0.404671368146191
1967-03, -0.083501216023455
1967-04, -0.204469663651155
1967-05, -0.159506870235603
1967-06, -0.0460366763814794
1967-07, -0.180576962306966
1967-08, 0.108846741773718
1967-09, 0.122749293819126
1967-10, -0.0971729404323841
1967-11, 0.0457081606730189
1967-12, 0.0205290580929034
1968-01, 0.215507888853748
1968-02, 0.0340891854956731
1968-03, -0.0427284054474328
1968-04, -0.528449280725406
1968-05, -0.399047374733319
1968-06, -0.542169835169325
1968-07, -0.468956382715953
1968-08, -0.639337089145957
1968-09, -0.734993485874927
1968-10, -0.9438683336989
1968-11, -1.23025414058531
1968-12, -1.23194222796872
1969-01, -1.42455579113186
1969-02, -1.18768817517764
1969-03, -1.31589385100924
1969-04, -1.11369626683093
1969-05, -1.12082945033735
1969-06, -1.14662913104038
1969-07, -1.14782839917304
1969-08, -1.2076441863715
1969-09, -1.24674485170694
1969-10, -1.33896338182634
1969-11, -1.09280934242883
1969-12, -1.12058326590056
1970-01, -1.13688620051296
1970-02, -0.979133252386157
1970-03, -0.848172305332803
1970-04, -0.802603593277581
1970-05, -0.996585163686256
1970-06, -0.903357357765502
1970-07, -1.06265291124917
1970-08, -1.08567952282314
1970-09, -0.756658295422146
1970-10, -0.753734529281601
1970-11, -0.530722216729739
1970-12, -0.161729374281399
1971-01, -0.00572618267370801
1971-02, -0.0919174866382636
1971-03, -0.0718221843011579
1971-04, -0.284945546213362
1971-05, -0.1552663672964
1971-06, -0.36324905065817
1971-07, -0.416645265178101
1971-08, -0.453751284016218
1971-09, -0.453276468908882
1971-10, -0.652962679457302
1971-11, -1.02746128126412
1971-12, -0.79766342215386
1972-01, -0.33683469174864
1972-02, -0.129693490908842
1972-03, -0.0814231292128832
1972-04, -0.0647210463461919
1972-05, 0.140016535833735
1972-06, 0.304581808654312
1972-07, 0.326931826137612
1972-08, 0.299814616005391
1972-09, 0.00610976114844564
1972-10, 0.321773514395417
1972-11, 0.157107097791708
1972-12, -0.310240579705183
1973-01, -0.0744332602942747
1973-02, 0.36538819908141
1973-03, 0.396535127063849
1973-04, 0.331006209547988
1973-05, 0.214108691156194
1973-06, 0.227901649226332
1973-07, 0.382562157438496
1973-08, 0.204992645981022
1973-09, 0.248180773169609
1973-10, 0.615944121121554
1973-11, 0.655850945548276
1973-12, 0.483851515899858
1974-01, 0.0167975446040698
1974-02, 0.133297969728492
1974-03, 0.314270584682646
1974-04, 0.475869188763968
1974-05, 0.756599358113402
1974-06, 0.870994637198303
1974-07, 0.89263416004912
1974-08, 1.14070262784318
1974-09, 1.17876035882034
1974-10, 1.02988116287276
1974-11, 1.09010717814328
1974-12, 1.1014862928909
1975-01, 0.626828933094399
1975-02, 0.21152522314276
1975-03, 0.758885825779837
1975-04, 0.769807712295257
1975-05, 0.785025604231021
1975-06, 1.1721029188037
1975-07, 1.06450888737893
1975-08, 0.986936255897583
1975-09, 0.953421769243418
1975-10, 0.851993098274603
1975-11, 0.663747866503907
1975-12, 0.681116215997782
1976-01, 0.893044849193483
1976-02, 1.04669046720453
1976-03, 1.11820332890384
1976-04, 0.922129461142538
1976-05, 0.558059256729229
1976-06, 0.43050767400757
1976-07, 0.666190757950291
1976-08, 0.40484745771382
1976-09, 0.576177277269984
1976-10, 0.927816620107586
1976-11, 0.958248745921423
1976-12, 0.944050612792772
1977-01, 1.08373344548556
1977-02, 1.04862279609962
1977-03, 0.84473374630302
1977-04, 0.719583221153253
1977-05, 0.965468324546746
1977-06, 0.512246935325352
1977-07, 0.467376529290943
1977-08, 0.409448898350211
1977-09, 0.429657374859076
1977-10, 0.186101379165818
1977-11, 0.163225773657089
1977-12, 0.141875013869795
1978-01, -0.0900205973966226
1978-02, -0.474531321799698
1978-03, -0.556641347175065
1978-04, -0.435008370597334
1978-05, -0.195462181917054
1978-06, 0.177663483248407
1978-07, -0.0760616005906501
1978-08, -0.11608111156508
1978-09, -0.108434635792214
1978-10, -0.502389933698827
1978-11, -0.575063877579587
1978-12, -0.356035850250196
1979-01, -0.381023853710826
1979-02, -0.559967745545868
1979-03, -0.650614290340876
1979-04, -0.664021434981943
1979-05, -0.664798063056505
1979-06, -0.484051555548578
1979-07, -0.472908315383015
1979-08, -0.517729716130226
1979-09, -0.540588783111678
1979-10, -0.484254862621405
1979-11, -0.446779799374883
1979-12, -0.468149938624564
1980-01, -0.635047178669815
1980-02, -0.385400841245418
1980-03, -0.766335620246094
1980-04, -1.03669007842438
1980-05, -1.03885505440167
1980-06, -1.43975379904156
1980-07, -1.42601870049606
1980-08, -1.49230482810984
1980-09, -1.71096418371265
1980-10, -1.81813657877915
1980-11, -1.85657597353946
1980-12, -1.91683500204012
1981-01, -1.89623355157785
1981-02, -1.60308032181076
1981-03, -1.89907119344126
1981-04, -1.76008314735217
1981-05, -1.8848766685922
1981-06, -1.96087193478782
1981-07, -1.98143698994627
1981-08, -1.92341951812868
1981-09, -1.99142864707119
1981-10, -1.76734254366796
1981-11, -1.63639461640441
1981-12, -1.50584257317406
1982-01, -1.62557187016604
1982-02, -1.64391985036664
1982-03, -1.48992139364729
1982-04, -1.48913149760656
1982-05, -1.75848317180664
1982-06, -1.5761274329727
1982-07, -1.42262318820626
1982-08, -1.40423056305843
1982-09, -1.07635285561127
1982-10, -1.10409216362818
1982-11, -1.17416837328884
1982-12, -1.25498301203029
1983-01, -1.29496461516811
1983-02, -1.46372307248649
1983-03, -1.05913246443863
1983-04, -1.00556190443295
1983-05, -0.776364436725559
1983-06, -0.675272173502019
1983-07, -0.691722241879141
1983-08, -0.533195675781585
1983-09, -0.418174194045984
1983-10, -0.56352022234009
1983-11, -0.804117986375823
1983-12, -0.740195462195347
1984-01, -0.531695081027648
1984-02, -0.253874919896005
1984-03, -0.0403386959526078
1984-04, 0.0971882092273926
1984-05, 0.378492017611359
1984-06, 0.324601219228628
1984-07, 0.317252473324367
1984-08, 0.279148546274371
1984-09, 0.0617113780444552
1984-10, 0.0448410952108152
1984-11, 1.02131585042819
1984-12, 1.15470361470567
1985-01, 1.08955849177434
1985-02, 1.0160578603254
1985-03, 0.661368134717416
1985-04, 0.932979043410603
1985-05, 0.805769948599181
1985-06, 0.831369243132523
1985-07, 0.902441575593244
1985-08, 0.764947630283828
1985-09, 0.822298919998257
1985-10, 0.855881793362544
1985-11, 0.905974350744537
1985-12, 0.890080449822202
1986-01, 0.904283659226432
1986-02, 0.818356185646953
1986-03, 0.338352216712692
1986-04, 0.309884771545278
1986-05, 0.19945791473037
1986-06, 0.0789928758533594
1986-07, -0.174357430413157
1986-08, 0.667401191807969
1986-09, 0.647244376901582
1986-10, 0.63311683750865
1986-11, -0.147707907785265
1986-12, -0.287428889165471
1987-01, -0.200572811546358
1987-02, -0.185987574000183
1987-03, -0.016215730002722
1987-04, -0.599622110238599
1987-05, -0.735156323341043
1987-06, -0.737325862282863
1987-07, -0.706785956056799
1987-08, -0.417210507478387
1987-09, -0.538578056661954
1987-10, -0.368186576345284
1987-11, -0.174500613457116
1987-12, -0.126803787714545
1988-01, -0.0323448361589157
1988-02, 0.0736298238593215
1988-03, 0.225274499211464
1988-04, 1.00455515084873
1988-05, 1.23239309247258
1988-06, 1.26448684404041
1988-07, 1.38876901666918
1988-08, 0.791062562526367
1988-09, 0.965545948459654
1988-10, 0.848399564692262
1988-11, 0.890428642613258
1988-12, 1.16390940821095
1989-01, 1.34700726150678
1989-02, 1.34818115209786
1989-03, 1.37283668193051
1989-04, 1.89027435618438
1989-05, 1.99846090129047
1989-06, 2.08820503251241
1989-07, 2.00984032385625
1989-08, 1.99585040747647
1989-09, 1.93014228920942
1989-10, 1.64541952386698
1989-11, 1.49206027428024
1989-12, 1.59867979264369
1990-01, 1.34935310088148
1990-02, 1.95202079517831
1990-03, 2.03266963751504
1990-04, 1.87017746826278
1990-05, 1.81414541898188
1990-06, 1.65431470442842
1990-07, 1.59958956700453
1990-08, 1.8787656850019
1990-09, 1.90960189236965
1990-10, 2.10601275885629
1990-11, 1.99614961880733
1990-12, 1.78770394698507
1991-01, 1.8499216264849
1991-02, 1.52584086009916
1991-03, 1.33111214434537
1991-04, 0.791970848651563
1991-05, 0.817439681363756
1991-06, 0.837969559581179
1991-07, 0.96777184681949
1991-08, 0.867138864577306
1991-09, 0.880651029211076
1991-10, 0.909257750885382
1991-11, 0.875949148332757
1991-12, 0.955753147698723
1992-01, 0.919384075192781
1992-02, 0.48524596908048
1992-03, 0.359178167836024
1992-04, -0.200417070804792
1992-05, -0.280817928152638
1992-06, -0.117695590979778
1992-07, -0.236805224404876
1992-08, -0.593851321478864
1992-09, -0.923990369775147
1992-10, -0.91592968819507
1992-11, -0.737200571278265
1992-12, -0.348473033805926
1993-01, -0.479499807899989
1993-02, -0.304317270575847
1993-03, -0.147097076991331
1993-04, -0.152662281690083
1993-05, -0.387011176799753
1993-06, -0.871146277675891
1993-07, -0.889493777723109
1993-08, -0.816378033073327
1993-09, -0.493925170131396
1993-10, -0.437752671271655
1993-11, -0.37663513249706
1993-12, -0.667985583499411
1994-01, -0.774475343518468
1994-02, -1.21926657245082
1994-03, -1.02935252803025
1994-04, -0.937980143973353
1994-05, -1.04574295778308
1994-06, -1.02698679160221
1994-07, -0.948766309841203
1994-08, -1.03773186533108
1994-09, -1.0455918260675
1994-10, -1.15888006165383
1994-11, -1.31558224233899
1994-12, -1.51878942384168
1995-01, -1.43268257136355
1995-02, -1.41891322417238
1995-03, -1.31661225471323
1995-04, -1.40051913495842
1995-05, -1.13282195611274
1995-06, -0.925004175513928
1995-07, -1.1461773790487
1995-08, -1.3044686677279
1995-09, -1.16945311975967
1995-10, -1.23026040269935
1995-11, -1.09577559893371
1995-12, -0.956638031108672
1996-01, -0.75783943735818
1996-02, -0.732418394310137
1996-03, -0.996531167359197
1996-04, -1.22066482474155
1996-05, -0.969705288406535
1996-06, -0.724293219798589
1996-07, -0.767658665603825
1996-08, -0.573135008042301
1996-09, -0.344937630277335
1996-10, -0.427137074000522
1996-11, -0.375826122118185
1996-12, -0.430640780672295
1997-01, -0.312333066828899
1997-02, -0.0322552399621723
1997-03, -0.33665953469945
1997-04, -0.456486969114146
1997-05, -0.427937831327686
1997-06, -0.433916060563894
1997-07, -0.106105461945767
1997-08, -0.0732534269864653
1997-09, -0.263331779254321
1997-10, -0.323857499762176
1997-11, -0.663826519167125
1997-12, -0.792059408742164
1998-01, -0.950552481261211
1998-02, -0.916435093009528
1998-03, -1.02103679760145
1998-04, -0.49380725642471
1998-05, -0.289620769233961
1998-06, -0.29718396285081
1998-07, -0.231021797097505
1998-08, 0.407954548501663
1998-09, 0.272988460788002
1998-10, 0.250062283528591
1998-11, 0.17800541899406
1998-12, 0.240632272619984
1999-01, 0.175992019672221
1999-02, 0.23813338068143
1999-03, 0.285809779856209
1999-04, 0.746641941710928
1999-05, 0.511153551768001
1999-06, 0.505999198056952
1999-07, 0.50571710154957
1999-08, 0.697490084353931
1999-09, 0.52775129817349
1999-10, 0.832659586332061
1999-11, 0.955069223251802
1999-12, 1.09849084948352
2000-01, 1.05195626443988
2000-02, 0.966505607994282
2000-03, 1.36378077338452
2000-04, 0.958946691036605
2000-05, 0.609900716753052
2000-06, 0.411790018466221
2000-07, 0.269563073114206
2000-08, -0.695407820607896
2000-09, -0.709976796698104
2000-10, -0.658961927621926
2000-11, -0.555809891608738
2000-12, -0.577036221155619
2001-01, -0.623744800082882
2001-02, -0.580420597259485
2001-03, -0.425395905335098
2001-04, -0.646163838293168
2001-05, 0.00148044170661118
2001-06, -0.137814956096199
2001-07, -0.245607771409153
2001-08, -0.435404149476513
2001-09, -0.429702215960324
2001-10, -0.855370527191632
2001-11, -0.876519742665571
2001-12, -0.973987813197168
2002-01, -0.941551659143387
2002-02, -0.176044620937831
2002-03, -0.588764132401217
2002-04, -0.624747335526313
2002-05, -0.540902696317083
2002-06, -0.491792186831282
2002-07, -0.520563454302605
2002-08, -0.575478862570064
2002-09, -0.568356567785232
2002-10, -0.793077289475379
2002-11, -1.04650485200174
2002-12, -0.962365615342638
2003-01, -1.27692733887898
2003-02, -1.26990353305371
2003-03, -1.26962162643603
2003-04, -1.23190355130939
2003-05, -1.29075372016389
2003-06, -1.10153853176172
2003-07, -1.26556752003346
2003-08, -1.32405475099867
2003-09, -1.36066496366466
2003-10, -1.25577399868236
2003-11, -1.23369808069094
2003-12, -1.18785954456502
2004-01, -1.27100373760726
2004-02, -1.56893575291292
2004-03, -1.53331263225879
2004-04, -1.60473008755586
2004-05, -1.82658081451612
2004-06, -1.75128507243001
2004-07, -1.74579982272888
2004-08, -1.51503240939366
2004-09, -1.43874724800366
2004-10, -1.06541769673396
2004-11, -1.03509224880971
2004-12, -1.02480211289216
2005-01, -0.943721213313611
2005-02, -0.74344395285206
2005-03, -0.697482503561055
2005-04, -1.0473079171187
2005-05, -1.62006827056272
2005-06, -1.52528781072403
2005-07, -1.5681722660664
2005-08, -1.63133685709532
2005-09, -1.54051424223671
2005-10, -1.67959174245093
2005-11, -1.62934451707219
2005-12, -1.73355740653427
2006-01, -1.5744764570725
2006-02, -1.6344811798596
2006-03, -1.79472010671995
2006-04, -1.85401335897594
2006-05, -1.88083633782661
2006-06, -1.55086902476415
2006-07, -1.42079659965107
2006-08, -1.53087118655391
2006-09, -1.31100579872465
