"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1943-01, -1.3681510869656
1943-02, -1.31895504152607
1943-03, -1.38764433951095
1943-04, -1.54144662214223
1943-05, -0.855734914552168
1943-06, -0.825025660335273
1943-07, -0.955628281592945
1943-08, -0.729094372963295
1943-09, -0.40226474478922
1943-10, -0.462547889670199
1943-11, -0.097320549487155
1943-12, -0.00666011432004053
1944-01, 0.0834977219606868
1944-02, 0.185606538893237
1944-03, -0.654904188730163
1944-04, -0.552248441722382
1944-05, -0.454177991717932
1944-06, -0.508373975853598
1944-07, -0.450597521829356
1944-08, -0.291100274142418
1944-09, -0.269765497197031
1944-10, -0.558125053155618
1944-11, -0.813316633792305
1944-12, -0.94227714319223
1945-01, -0.953621455577647
1945-02, -0.783602339835321
1945-03, -0.793691811384554
1945-04, -0.246042768611342
1945-05, -0.606639130681859
1945-06, -0.196552403263985
1945-07, -0.0754191096323087
1945-08, -0.339611823102693
1945-09, -0.760163796680718
1945-10, -0.802965512618899
1945-11, -1.18797456535345
1945-12, -1.19254586971527
1946-01, -1.30840457362773
1946-02, -1.19680909394995
1946-03, -1.1673345244042
1946-04, -0.8021523094794
1946-05, -0.869454807358575
1946-06, -0.598040584595992
1946-07, -0.79395818609672
1946-08, -1.06182032601521
1946-09, -1.07192864296288
1946-10, -1.0550634438618
1946-11, -0.932389475924242
1946-12, -0.905667580722975
1947-01, -0.955603582760668
1947-02, -0.658322262677672
1947-03, -0.618180200629015
1947-04, -0.957634361943592
1947-05, -1.13323622767435
1947-06, -1.3673667710886
1947-07, -1.55868182760338
1947-08, -1.64656167627349
1947-09, -1.60522216429799
1947-10, -1.645743603332
1947-11, -1.6189160971294
1947-12, -1.21027158032579
1948-01, -0.749089366583089
1948-02, -0.68832676001159
1948-03, -0.735870919782636
1948-04, -1.26865477386914
1948-05, -1.13412976630107
1948-06, -1.00464348302317
1948-07, -0.998372826775838
1948-08, -1.01769493169563
1948-09, -0.90494943386457
1948-10, -1.0647919398122
1948-11, -1.25204499841794
1948-12, -1.05066162041342
1949-01, -0.559627117731326
1949-02, -0.460521644953581
1949-03, -0.415561039293211
1949-04, -0.753483427098444
1949-05, -0.789039037422297
1949-06, -0.030157707817474
1949-07, 0.0357844925767338
1949-08, 0.190493368999641
1949-09, 0.553689738293526
1949-10, 0.534339004682321
1949-11, 0.542008443735342
1949-12, 0.249558538450437
1950-01, 0.110055640085099
1950-02, 0.270718337045222
1950-03, 0.351570935902677
1950-04, 0.581742146158655
1950-05, 0.650177055811359
1950-06, 1.30489684556116
1950-07, 1.76436048908995
1950-08, 1.92230524552502
1950-09, 1.94602306922773
1950-10, 2.15585894962932
1950-11, 2.30850344978965
1950-12, 2.20937619263996
1951-01, 2.21392603708859
1951-02, 1.90144041849278
1951-03, 1.96929626168212
1951-04, 2.01103945760494
1951-05, 2.14166619535249
1951-06, 1.89447685396987
1951-07, 1.86550954701205
1951-08, 1.96592627465931
1951-09, 1.78025142903662
1951-10, 1.85709812190554
1951-11, 1.75837756757122
1951-12, 1.71405691694232
1952-01, 1.56048728648068
1952-02, 1.29920882103793
1952-03, 1.26125733729872
1952-04, 1.38595394043263
1952-05, 1.25474991917335
1952-06, 0.409499873398006
1952-07, 0.205179897465462
1952-08, 0.593999204251536
1952-09, 0.464443059906473
1952-10, 0.606826836742289
1952-11, 0.561181890040213
1952-12, 0.582935389646185
1953-01, 0.226164062189915
1953-02, 0.446298270848354
1953-03, 0.45673436232842
1953-04, 0.420777084350621
1953-05, 0.72331604666922
1953-06, 0.160761653648391
1953-07, 0.243116202161205
1953-08, 0.0542683746448011
1953-09, -0.0841408771004402
1953-10, -0.0527650914084486
1953-11, 0.0141738615127762
1953-12, 0.00955977570046369
1954-01, 0.139913828310389
1954-02, 0.481316311676885
1954-03, 0.382389864130884
1954-04, -0.0146814011780678
1954-05, -0.0681904468901977
1954-06, -0.303343471488132
1954-07, -0.547433025117493
1954-08, -1.12511759093289
1954-09, -1.04116029548763
1954-10, -1.1498648911752
1954-11, -1.01940574713728
1954-12, -0.915018843577717
